entry_id	kingdom	phylum	class	order	family	genus	species	cell_type	gene_symbol	cell_subtype	sample_type	tissue_type	pubmed_id	journal	title	geo_id
1	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Cartilage	"matn4, col9a2"	Cartilage	Tissue	Brain	33068532	Neuron	Emergence of Neuronal Diversity during Vertebrate Brain Development.	GSE158142
2	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Dorsolateral	nptx2a	Dorsolateral	Tissue	Brain	29576475	Current Biology	Comprehensive Identifification and Spatial Mapping of Habenular Neuronal Types Using Single-Cell RNA_x0002_Seq	GSE105115
3	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Dorsomedial	"gpr151, pou4f1"	Dorsomedial	Tissue	Brain	29576475	Current Biology	Comprehensive Identifification and Spatial Mapping of Habenular Neuronal Types Using Single-Cell RNA_x0002_Seq	GSE105115
4	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Epidermal cells	"epcam, cldni"	Epidermal cells	Tissue	Brain	33068532	Neuron	Emergence of Neuronal Diversity during Vertebrate Brain Development.	GSE158142
5	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Eye cells	"foxg1b, lim2.4, pmela, ca14, gnat1, opn1mw1"	Eye cells	Tissue	Brain	33068532	Neuron	Emergence of Neuronal Diversity during Vertebrate Brain Development.	GSE158142
6	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Pharyngeal arches	"pmp22a, prrx1b, barx1"	Pharyngeal arches	Tissue	Brain	33068532	Neuron	Emergence of Neuronal Diversity during Vertebrate Brain Development.	GSE158142
7	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Sensory placodes	"dlx3b, six1b"	Sensory placodes	Tissue	Brain	33068532	Neuron	Emergence of Neuronal Diversity during Vertebrate Brain Development.	GSE158142
8	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Trigeminal ganglia	"ptgs2a, tp63, cavin2a"	Trigeminal ganglia	Tissue	Brain	33068532	Neuron	Emergence of Neuronal Diversity during Vertebrate Brain Development.	GSE158142
9	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Ventral	aoc1	Ventral	Tissue	Brain	29576475	Current Biology	Comprehensive Identifification and Spatial Mapping of Habenular Neuronal Types Using Single-Cell RNA_x0002_Seq	GSE105115
10	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Blood cells	"cahz, etv2, cd74a"	Blood cells	Tissue	Brain	33068532	Neuron	Emergence of Neuronal Diversity during Vertebrate Brain Development.	GSE158142
11	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Hoxa2b, Cyp26b1"	Neural cells c0	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
12	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Zic1, Atoh1a"	Neural cells c0	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
13	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Ihx9, Barh1"	Neural cells c0	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
14	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Zic1, Msx1b"	Neural cells c1	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
15	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Mki67, Ibx1b"	Neural cells c1	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
16	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Fzd7a, Gfap"	Neural cells c1	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
17	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Tfap2a	Neural cells c10	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
18	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Tfap2b	Neural cells c10	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
19	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Atoh1b	Neural cells c11	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
20	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Phoxa2a	Neural cells c11	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
21	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Vsx1, Tal1"	Neural cells c12	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
22	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Isl1	Neural cells c12	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
23	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Shha	Neural cells c13	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
24	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Foxa	Neural cells c13	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
25	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Bmp5, Nog1"	Neural cells c14	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
26	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Foxn4, Vsx1"	Neural cells c14	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
27	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Slca3b	Neural cells c15	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
28	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Hoxd4a, Cygb1"	Neural cells c2	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
29	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Dbx1a	Neural cells c2	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
30	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Mki67, Nusap1"	Neural cells c2	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
31	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Egr2b, Epha4a, Mafba"	Neural cells c3	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
32	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Mcm2	Neural cells c3	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
33	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Otpa, Pax2a"	Neural cells c3	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
34	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Cryba1l1, Prdx6"	Neural cells c4	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
35	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Neurog1, Neurogd4, Otpb"	Neural cells c4	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
36	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Ascl1a, Zic1"	Neural cells c4	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
37	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Rbp5	Neural cells c5	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
38	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Myca	Neural cells c5	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
39	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Gata2a, Tal1"	Neural cells c5	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
40	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Neurod4, Elavl3"	Neural cells c6	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
41	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Elavl4, Gap43"	Neural cells c6	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
42	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Rbfox1, Stmn2a"	Neural cells c6	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
43	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"En2a, Pax2a"	Neural cells c7	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
44	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Cdca8	Neural cells c7	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
45	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Dla	Neural cells c7	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
46	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Bmp5, Nog1"	Neural cells c8	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
47	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Slc6a9	Neural cells c8	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
48	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Ascl1b.1, Neurog1, Neurod4"	Neural cells c8	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
49	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Shha, Foxa"	Neural cells c9	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
50	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Nkx2.2a, Isl1"	Neural cells c9	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
51	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Atoh1a	Neural cells c9	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
52	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Glial cells	"Gfap, Her4"	Glial cells	Tissue	Brain	31905199	PLoS Biol	Neuron-glia interaction through Serotonin-BDNF-NGFR axis enables regenerative neurogenesis in Alzheimer model of adult zebrafish brain	"GSM3334110, GSM3333461, GSM3333764, GSM3334111"
53	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Immune cells	"Pfn1, Lcp1"	Immune cells	Tissue	Brain	31905199	PLoS Biol	Neuron-glia interaction through Serotonin-BDNF-NGFR axis enables regenerative neurogenesis in Alzheimer model of adult zebrafish brain	"GSM3334110, GSM3333461, GSM3333764, GSM3334111"
54	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Sypb, Gap43"	Neurons	Tissue	Brain	31905199	PLoS Biol	Neuron-glia interaction through Serotonin-BDNF-NGFR axis enables regenerative neurogenesis in Alzheimer model of adult zebrafish brain	"GSM3334110, GSM3333461, GSM3333764, GSM3334111"
55	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Oligodendrocytes	"Olig2, Aplnrb"	Oligodendrocytes	Tissue	Brain	31905199	PLoS Biol	Neuron-glia interaction through Serotonin-BDNF-NGFR axis enables regenerative neurogenesis in Alzheimer model of adult zebrafish brain	"GSM3334110, GSM3333461, GSM3333764, GSM3334111"
56	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	sox10	Neural crest cells	Tissue	Brain	33068532	Neuron	Emergence of Neuronal Diversity during Vertebrate Brain Development.	GSE158142
57	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	sox19a	Neural progenitors	Tissue	Brain	33068532	Neuron	Emergence of Neuronal Diversity during Vertebrate Brain Development.	GSE158142
58	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"elavl3, gad2, slc17a6b"	Neuronal cells	Tissue	Brain	33068532	Neuron	Emergence of Neuronal Diversity during Vertebrate Brain Development.	GSE158142
59	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Progenitor cells	"sox19a, her genes, pcna, mki67, fabp7a, gfap, id1"	Progenitor cells	Tissue	Brain	33068532	Neuron	Emergence of Neuronal Diversity during Vertebrate Brain Development.	GSE158142
60	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Glia cells	"mfge8a, s100b"	Radial glia cells	Tissue	Brain	33068532	Neuron	Emergence of Neuronal Diversity during Vertebrate Brain Development.	GSE158142
61	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Oligodendrocytes	mbpa	Oligodendrocytes	Tissue	Brain	33068532	Neuron	Emergence of Neuronal Diversity during Vertebrate Brain Development.	GSE158142
62	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Hematopoietic cells	"mpeg1.1, cxcr3.2"	Hematopoietic cells	Tissue	Caudal fin	32851162	Sci Adv	Cellular diversity of the regenerating caudal fin	GSE137971
63	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Epithelial cells	"epcam, cdh1, krt4"	Superficial epithelium	Tissue	Caudal fin	32851162	Sci Adv	Cellular diversity of the regenerating caudal fin	GSE137971
64	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Epithelial cells	"epcam, cdh1, tp63"	Intermediate epithelium	Tissue	Caudal fin	32851162	Sci Adv	Cellular diversity of the regenerating caudal fin	GSE137971
65	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Epithelial cells	"epcam, cdh1, tp63, krtt1c19e"	Basal layers epithelium	Tissue	Caudal fin	32851162	Sci Adv	Cellular diversity of the regenerating caudal fin	GSE137971
66	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Mesenchymal cells	"msx1b, twist1a"	Mesenchymal cells	Tissue	Caudal fin	32851162	Sci Adv	Cellular diversity of the regenerating caudal fin	GSE137971
67	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Cartilage	"Mia, Matn1, Col2a1a, Fgfbp2"	Cartilage	Tissue	Embryos	32831172	eLife	An improved zebrafish transcriptome annotation for sensitive and comprehensive detection of cell type-specific genes	GSE152759
68	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Epidermis	"And1, And2, Msx2b"	Epidermis	Tissue	Embryos	32831172	eLife	An improved zebrafish transcriptome annotation for sensitive and comprehensive detection of cell type-specific genes	GSE152759
69	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural progeny	"Ngfrb, Zwi, Elavl3"	Neural progeny	Tissue	Embryos	31782996	Dev Biol	A single-cell transcriptome atlas for zebrafish development	PRJNA564810
70	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Notochord cells	"Tbxta, Col2a1a, Col9a2, Matn4"	Notochord cells	Tissue	Embryos	31782996	Dev Biol	A single-cell transcriptome atlas for zebrafish development	PRJNA564810
71	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Notochord cells	"Tbxta, Col2a1a, Col9a2, Matn4"	Notochord cells	Tissue	Embryos	31782996	Dev Biol	A single-cell transcriptome atlas for zebrafish development	PRJNA564810
72	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Notochord cells	"Tbxta, Col2a1a, Col9a2, Matn4"	Notochord cells	Tissue	Embryos	31782996	Dev Biol	A single-cell transcriptome atlas for zebrafish development	PRJNA564810
73	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Photoreceptors	"Grk1a, Opn1lw2"	Photoreceptors	Tissue	Embryos	31782996	Dev Biol	A single-cell transcriptome atlas for zebrafish development	PRJNA564810
74	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Germ cells	"Ddx4, Nanos3, Dnd1, Piwi2"	Primordial germ cells	Tissue	Embryos	31782996	Dev Biol	A single-cell transcriptome atlas for zebrafish development	PRJNA564810
75	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Epithelial cell	Cx43	Retina pigment epithelium	Tissue	Embryos	31782996	Dev Biol	A single-cell transcriptome atlas for zebrafish development	PRJNA564810
76	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Xanthophores	"Cax1, Plin6, Aox5"	Xanthophores	Tissue	Embryos	31782996	Dev Biol	A single-cell transcriptome atlas for zebrafish development	PRJNA564810
77	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Blood cells	"Coro1a, Rac2"	Blood cells	Tissue	Embryos	32831172	eLife	An improved zebrafish transcriptome annotation for sensitive and comprehensive detection of cell type-specific genes	GSE152759
78	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Blood cells	"Coro1a, Rac2"	Blood cells	Tissue	Embryos	32831172	eLife	An improved zebrafish transcriptome annotation for sensitive and comprehensive detection of cell type-specific genes	GSE152759
79	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Differentiated cells	"Crx, Neurod1, Otx2b, Foxn4, Hes2.2, Ntoh7"	Differentiating retinal cells	Tissue	Embryos	31782996	Dev Biol	A single-cell transcriptome atlas for zebrafish development	PRJNA564810
80	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Hepatocytes	"Fabp10a, cp1"	Hepatocytes	Tissue	Embryos	31782996	Dev Biol	A single-cell transcriptome atlas for zebrafish development	PRJNA564810
81	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Pcna, Hoxc1a, Hoxb9a, Hoxc8a, Hoxb8a, Hoxc6b"	Spinal cord neural cells	Tissue	Embryos	31782996	Dev Biol	A single-cell transcriptome atlas for zebrafish development	PRJNA564810
82	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Pcna, Sox1, Foxg1a"	Forebrain	Tissue	Embryos	31782996	Dev Biol	A single-cell transcriptome atlas for zebrafish development	PRJNA564810
83	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Pcna, Otx2a, En2b"	Midbrain	Tissue	Embryos	31782996	Dev Biol	A single-cell transcriptome atlas for zebrafish development	PRJNA564810
84	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Pcna, Olig2, Isl2a, Isl1, Mnx1"	Motor neurons	Tissue	Embryos	31782996	Dev Biol	A single-cell transcriptome atlas for zebrafish development	PRJNA564810
85	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Pcna, Pcna, Fabp7a"	Progenitor	Tissue	Embryos	31782996	Dev Biol	A single-cell transcriptome atlas for zebrafish development	PRJNA564810
86	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Pcna, Elavl3, Snap25a"	Differentiated neural	Tissue	Embryos	31782996	Dev Biol	A single-cell transcriptome atlas for zebrafish development	PRJNA564810
87	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Lin7a, Alcama, Barhl2"	Retinal neurons	Tissue	Embryos	31782996	Dev Biol	A single-cell transcriptome atlas for zebrafish development	PRJNA564810
88	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Melanocytes	"Slc24a5, Tyr"	Melanocytes	Tissue	Embryos	31782996	Dev Biol	A single-cell transcriptome atlas for zebrafish development	PRJNA564810
89	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Crestin, Ednrab, Sox10"	Neural crest progenitors	Tissue	Embryos	31782996	Dev Biol	A single-cell transcriptome atlas for zebrafish development	PRJNA564810
90	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Progenitor cells	"Vsx2, Col15a1b"	Retinal progenitor cells	Tissue	Embryos	31782996	Dev Biol	A single-cell transcriptome atlas for zebrafish development	PRJNA564810
91	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Lymphocyte cells	"il7r, lck"	Lymphocytes	Tissue	Gut	30446505	Sci Immunol	Single-cell transcriptional analysis reveals ILC-like cells in zebrafish	NA
92	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	T cells	"cd3z, trac"	T cells	Tissue	Gut	30446505	Sci Immunol	Single-cell transcriptional analysis reveals ILC-like cells in zebrafish	NA
93	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Central support cells	"Lfng, Ebf3a, Isl1, Gata2b, Prox1a"	Central support cells	Tissue	Hair	30681411	eLife	scRNA-Seq reveals distinct stem cell populations that drive hair cell regeneration after loss of Fgf and Notch signaling	GSE123241
94	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	D_v pole amplifying support cells	Sost	D_v pole amplifying support cells	Tissue	Hair	30681411	eLife	scRNA-Seq reveals distinct stem cell populations that drive hair cell regeneration after loss of Fgf and Notch signaling	GSE123241
95	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Mantle cells	"Ovgp1, Sfrp1a, Tspan1"	Mantle cells	Tissue	Hair	30681411	eLife	scRNA-Seq reveals distinct stem cell populations that drive hair cell regeneration after loss of Fgf and Notch signaling	GSE123241
96	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Support cells	"Si:ch73-261i21.5, Wnt11r"	Support cells	Tissue	Hair	30681411	eLife	scRNA-Seq reveals distinct stem cell populations that drive hair cell regeneration after loss of Fgf and Notch signaling	GSE123241
97	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Hair cells	"Dld, Sox4a, Hes2.2"	Differentiating hair cell progenitors	Tissue	Hair	30681411	eLife	scRNA-Seq reveals distinct stem cell populations that drive hair cell regeneration after loss of Fgf and Notch signaling	GSE123241
98	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Hair cells	"Atoh1a, Tekt3, Rbm24a, Tmc2b, Irx2a, Myt1a"	Hair cells	Tissue	Hair	30681411	eLife	scRNA-Seq reveals distinct stem cell populations that drive hair cell regeneration after loss of Fgf and Notch signaling	GSE123241
99	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Secretory cells	"Anxa4, Neurod1"	Enteroendocrine	Tissue	Intestine	32092251	Environ Sci Technol	Single-cell RNA sequencing reveals size-dependent effects of polystyrene microplastics on immune and secretory cell populations from zebrafish intestines	GSE136109
100	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Sperm cells	Spag6	Sperm cells	Tissue	Intestine	32092251	Environ Sci Technol	Single-cell RNA sequencing reveals size-dependent effects of polystyrene microplastics on immune and secretory cell populations from zebrafish intestines	GSE136109
101	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Hepatocytes	Fabp10a	Hepatocytes	Tissue	Intestine	32092251	Environ Sci Technol	Single-cell RNA sequencing reveals size-dependent effects of polystyrene microplastics on immune and secretory cell populations from zebrafish intestines	GSE136109
102	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Enterocytes	Fabp2	Enterocytes	Tissue	Intestine	32092251	Environ Sci Technol	Single-cell RNA sequencing reveals size-dependent effects of polystyrene microplastics on immune and secretory cell populations from zebrafish intestines	GSE136109
103	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	T cells	"Il7r, Lck, Zap70"	T cells	Tissue	Intestine	32092251	Environ Sci Technol	Single-cell RNA sequencing reveals size-dependent effects of polystyrene microplastics on immune and secretory cell populations from zebrafish intestines	GSE136109
104	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	B cells	Blnk	B cells	Tissue	Intestine	32092251	Environ Sci Technol	Single-cell RNA sequencing reveals size-dependent effects of polystyrene microplastics on immune and secretory cell populations from zebrafish intestines	GSE136109
