entry_id	kingdom	phylum	class	order	family	genus	species	cell_type	gene_symbol	cell_subtype	sample_type	tissue_type	pubmed_id	journal	title	geo_id
1535	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Neural cells	DCX	Immature committed neurons	Tissue	Brain	31739796	Journal of Neuroinflammation	Neuronal maturation reduces the type I IFN response to orthobunyavirus infection and leads to increased apoptosis of Human neurons	NA
1536	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Neural cells	beta-tubulin	Mature neurons	Tissue	Brain	31739796	Journal of Neuroinflammation	Neuronal maturation reduces the type I IFN response to orthobunyavirus infection and leads to increased apoptosis of Human neurons	NA
1537	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Neural cells	Sox2	Neural progenitor cell	Tissue	Brain	31739796	Journal of Neuroinflammation	Neuronal maturation reduces the type I IFN response to orthobunyavirus infection and leads to increased apoptosis of Human neurons	NA
1538	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Neural cells	DCX	Immature committed neurons	Tissue	Brain	31739796	Journal of Neuroinflammation	Neuronal maturation reduces the type I IFN response to orthobunyavirus infection and leads to increased apoptosis of Human neurons	NA
1539	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Neural cells	beta-tubulin	Mature neurons	Tissue	Brain	31739796	Journal of Neuroinflammation	Neuronal maturation reduces the type I IFN response to orthobunyavirus infection and leads to increased apoptosis of Human neurons	NA
1540	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Ampa cells	"GLUR1, GLUR2, GLUR3, GLUR4"	Ampa cells	Tissue	Brain	31784728	Nature Genetics	Neuronal impact of patient-specific aberrant NRXN1alpha splicing	GSE137128
1541	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	T cells	S100A4	Memory T cells	Organoids	Brain	32948672	Sci Immunol	Transcriptomic and clonal characterization of T cells in the Human central nervous system	"phs002222.v1.p1, GSE157277, GSE155488"
1542	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Myeloid cells	"CD73, CD3"	CD3+ T cell	Tissue	Brain	31873309	Nat Med	Immune profiling of Human tumors identifies CD73 as a combinatorial target in glioblastoma	PRJNA588461
1543	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Myeloid cells	"CD73, CD68"	CD3- CD68+ myeloid cell	Tissue	Brain	31873309	Nat Med	Immune profiling of Human tumors identifies CD73 as a combinatorial target in glioblastoma	PRJNA588461
1544	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Macrophages	"CD73, CCR5, CCR2, ITGAV, ITGB5, CSF1R"	CD73hi macrophages	Tissue	Brain	31873309	Nat Med	Immune profiling of Human tumors identifies CD73 as a combinatorial target in glioblastoma	PRJNA588461
